"","TF","target","importance"
"590","RUNX2","KLRB1",8.09391990016194
"591","HBP1","POMP",8.08263157715597
"592","FOXP3","LAIR2",8.07525188511742
"593","ETS1","S100A6",8.07399201695574
"594","NFE2L3","CRIP2",8.07231185584947
"595","IRF1","KLF2",8.04671252063117
"596","ZNF76","SLC9A1",8.0113203305143
"597","KLF2","EIF1",8.0078917413759
"598","FOXP3","SPOCK2",8.00141862854317
"599","KLF2","CNOT6L",7.99161165718983
"600","ZNF331","ZFP36",7.97345703964717
"601","HMGB1","SRSF2",7.94267395043974
"602","ZNF90","RPL23A",7.93035730206721
"603","JUN","RPL27",7.92852758102032
"604","JUNB","WIPF1",7.92418531757133
"605","ETS1","LMNA",7.9196621311551
"606","JUND","RPL13",7.90602281806165
"607","KLF6","IFITM2",7.89726856559531
"608","LEF1","COTL1",7.87491446262712
"609","NFE2L3","CSRNP1",7.87306938906778
"610","RUNX2","IL7R",7.87281610963625
"611","ETS1","RAC2",7.865128476735
"612","KLF6","TMSB4X",7.86373719220418
"613","MAX","B2M",7.85251763527079
"614","ETS1","FAM65B",7.85091080255229
"615","ODC1","SAMHD1",7.84936915984122
"616","PRDM1","RGS1",7.82369746198557
"617","PLAGL2","PHC3",7.81807751560953
"618","ZNF90","RPS15",7.81777596684303
"619","JUN","NR4A1",7.81642766738436
"620","FOSB","RPL7A",7.81062761438359
"621","JUNB","RPL6",7.78389468369987
"622","KLF2","MSN",7.77993771296429
"623","JUN","HSP90AB1",7.76695240664686
"624","JUND","PNRC1",7.76458955533138
"625","FOSB","RPS23",7.76326131881924
"626","FOS","KLRB1",7.75130471950797
"627","ZNF90","TPT1",7.75100725118146
"628","JUNB","UBC",7.74665671647299
"629","ETS1","YWHAB",7.73904387602093
"630","PLAGL2","RTKN2",7.7223656087749
"631","TFAP4","ALAD",7.72149398445015
"632","ZNF580","TP53I13",7.71206654252906
"633","GFI1","MT2A",7.70529842950622
"634","ETS1","ENO1",7.70439510957017
"635","KLF2","HLA.DQB1",7.70332064528467
"636","FOS","LTB",7.66848485336883
"637","IRF3","TMEM179B",7.666954187055
"638","ELF1","SOCS3",7.66679249697613
"639","KLF2","FAM107B",7.66131064443713
"640","LEF1","BIRC3",7.65783678991588
"641","THRA","YPEL5",7.650318309639
"642","KLF6","PTPRC",7.64973537575426
"643","MAFF","NKG7",7.641230649169
"644","JUND","TOMM7",7.63699399191653
"645","MAF","RPL34",7.63397260194204
"646","TCF3","NME3",7.63355336561415
"647","JUNB","RPS23",7.63134128924777
"648","JUND","RPL12",7.62409704382389
"649","ETS1","ANXA6",7.62156341705267
